Url, Site, Type, Size, Date Created, Date Modified, Sub-Directories, Owner
\\lehi3\www$\AcademicCouncil\1990\90_12_13.htm, AcademicCouncil, .htm, 4839B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_12_18.htm, AcademicCouncil, .htm, 2580B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_12_20.htm, AcademicCouncil, .htm, 2370B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_01_08.htm, AcademicCouncil, .htm, 3170B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_01_15.htm, AcademicCouncil, .htm, 4878B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_01_22.htm, AcademicCouncil, .htm, 5279B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_01_29.htm, AcademicCouncil, .htm, 5903B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_02_12.htm, AcademicCouncil, .htm, 6188B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_02_19.htm, AcademicCouncil, .htm, 5785B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_02_26.htm, AcademicCouncil, .htm, 8436B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_03_19.htm, AcademicCouncil, .htm, 3171B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_03_21.htm, AcademicCouncil, .htm, 6450B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_03_26.htm, AcademicCouncil, .htm, 8240B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_04_02.htm, AcademicCouncil, .htm, 6053B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_04_09.htm, AcademicCouncil, .htm, 8743B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_04_18.htm, AcademicCouncil, .htm, 5180B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_04_30.htm, AcademicCouncil, .htm, 6007B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_05_06.htm, AcademicCouncil, .htm, 5497B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_05_07.htm, AcademicCouncil, .htm, 4224B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
